Gewaesser,Einheit,Zeit,Datum,Wert_Aktuell,24h_vorher,Differenz,Mittel_24h,Maximum_24h,Minimum_24h
Aa-Stegen-Wetzikon,l/s,15:30,25.08.2025,1'926,122,1'804.2,828,1'942,102
Aabach-Käpfnach,l/s,15:30,25.08.2025,359,373,-14.8,366,373,359
Aabach-Mönchaltorf,m3/s,15:20,25.08.2025,0.52,0.66,-0.139,0.58,0.66,0.52
Aabach-Niederuster,m3/s,15:20,25.08.2025,2.46,1.09,1.370,1.39,3.53,0.47
Abistbach-Marthalen HW-RB,müM,15:30,25.08.2025,398.91,398.85,0.055,398.85,398.92,398.83
Altbach-Bassersdorf,l/s,15:20,25.08.2025,104,129,-24.8,117,129,102
"Altbach Kloten, Schaffhauserstr.",m3/s,15:20,25.08.2025,0.09,0.10,-0.010,0.10,0.10,0.09
Chämtnerbach-Wetzikon,l/s,15:20,25.08.2025,140,179,-38.8,162,179,140
Chatzenb.-Turb.-Becken,müM,14:30,25.08.2025,566.33,566.33,-0.005,566.33,566.33,566.33
Chrattenweiher-Wetzikon,m,11:00,25.08.2025,1.58,1.58,0.002,1.58,1.59,1.58
Dorfbach-Maur,l/s,15:00,25.08.2025,16,18,-2.5,17,18,16
Dorfbach-Meilen,l/s,15:20,25.08.2025,36,43,-7.0,38,44,36
Eulach-Räterschen,m3/s,15:30,25.08.2025,0.23,0.27,-0.041,0.25,0.27,0.23
Eulach-Winterthur,m3/s,15:30,25.08.2025,0.44,0.51,-0.069,0.50,0.53,0.44
Eulach-Wülflingen,m3/s,15:25,25.08.2025,0.33,0.40,-0.068,0.35,0.40,0.28
Fischbach-Niederglatt,müM,15:20,25.08.2025,409.11,409.12,-0.009,409.11,409.14,409.08
Furtbach Wüeri Buchs HW-RB,müM,15:30,25.08.2025,421.73,421.74,-0.017,421.72,421.76,421.64
Furtbach-Würenlos,l/s,15:30,25.08.2025,246,261,-14.4,264,286,232
Geisslibach-Furtmüli,l/s,12:00,25.08.2025,276,331,-55.0,296,331,271
Glatt-Dübendorf,m3/s,15:20,25.08.2025,4.46,4.71,-0.243,4.56,4.71,4.44
Glatt Oberglatt,müM,14:10,25.08.2025,413.22,413.25,-0.025,413.23,413.25,413.20
Glatt-Rheinsfelden (BAFU),m3/s,15:10,25.08.2025,6.58,6.93,-0.346,6.54,6.96,6.21
Glatt Rümlang,müM,15:20,25.08.2025,416.34,416.34,0.000,416.34,416.35,416.34
Glatt Schwerzenbach,müM,15:00,25.08.2025,434.97,434.99,-0.024,434.98,434.99,434.96
Glatt Wuhrbrücke,m3/s,12:00,25.08.2025,4.47,4.72,-0.248,4.60,4.70,4.46
Greifensee,müM,15:20,25.08.2025,435.20,435.22,-0.020,435.21,435.22,435.20
Haselbach-Bäckental HW-RB,müM,15:30,25.08.2025,413.03,413.05,-0.020,413.05,413.05,413.03
Haselbach-Maschwanden,l/s,07:20,25.08.2025,212,316,-103.7,251,724,205
Haselbach-Mettmenstetten,l/s,15:30,25.08.2025,85,106,-20.2,98,111,82
Hüttnersee Hütten b. Auslauf,m,06:00,25.08.2025,2.14,2.16,-0.019,2.15,2.16,2.14
Jona-Pilgersteg,m3/s,15:30,25.08.2025,0.39,0.45,-0.063,0.41,0.47,0.00
Jona-Rüti,m3/s,15:20,25.08.2025,1.10,1.27,-0.170,1.07,1.27,0.94
Jonen-Affoltern a/A HW-RB,müM,15:30,25.08.2025,497.16,497.21,-0.046,497.18,497.21,497.16
Jonen-Zwillikon,m3/s,15:30,25.08.2025,0.33,0.38,-0.055,0.35,0.38,0.32
Katzensee,müM,12:00,25.08.2025,439.03,439.03,-0.008,439.03,439.03,439.03
Kempt-Fehraltorf,l/s,15:30,25.08.2025,172,208,-35.8,185,208,172
Kempt-Illnau,m3/s,15:20,25.08.2025,0.46,0.37,0.090,0.34,0.46,0.28
Kempt-Winterthur,m3/s,15:30,25.08.2025,0.52,0.67,-0.156,0.56,0.68,0.49
Limmat-Unterhard,m3/s,14:50,25.08.2025,94.45,106.83,-12.382,100.08,107.74,75.63
Lützelsee,m,15:20,25.08.2025,1.53,2.22,-0.692,2.16,2.24,1.53
Lützelsee-OW-Abfluss l/s,l/s,15:20,25.08.2025,65,109,-44.4,90,407,65
Lützelsee-TW-Abfluss l/s,l/s,15:15,25.08.2025,43,44,-0.7,44,44,43
Mederbach-Marthalen,l/s,15:20,25.08.2025,134,189,-54.7,163,189,134
Mülibach-Esslingen HW-RB,müM,15:30,25.08.2025,461.57,461.59,-0.016,461.58,461.59,461.57
Mülibach-Rietmüli,l/s,15:00,25.08.2025,121,137,-16.0,127,137,121
Näfbach-Neftenbach,m3/s,15:00,25.08.2025,0.33,0.41,-0.075,0.37,0.62,0.22
Pfäffikersee,müM,15:20,25.08.2025,537.10,537.12,-0.016,537.12,537.12,537.10
Reppisch-Birmensdorf,m3/s,15:20,25.08.2025,0.27,0.30,-0.036,0.27,0.30,0.25
Reppisch-Dietikon,m3/s,15:20,25.08.2025,0.59,0.74,-0.144,0.66,0.79,0.58
Rhein Rüdlingen,müM,15:30,25.08.2025,343.76,343.78,-0.018,343.77,343.79,343.76
Riedbach-Hegmatten / HW-RB,müM,15:30,25.08.2025,454.80,454.82,-0.016,454.81,454.82,454.80
Schwarzbach Rickenbach Kellersgasse,m3/s,15:00,25.08.2025,0.12,0.12,-0.004,0.11,0.17,0.10
Schwarzbach-Rickenbach HW-RB,müM,15:30,25.08.2025,416.30,416.30,0.001,416.29,416.34,416.28
Sihl-Blattwag,m3/s,15:30,25.08.2025,3.37,3.90,-0.530,3.62,3.90,3.37
Surb-Niederweningen,l/s,15:15,25.08.2025,88,92,-4.1,88,96,80
"Töss-Altlandenb.,Bauma",m3/s,15:30,25.08.2025,0.45,0.61,-0.161,0.52,0.70,0.45
Töss-Beicher,m3/s,15:00,25.08.2025,0.11,0.17,-0.062,0.14,0.21,0.00
Töss-Freienstein,m3/s,15:30,25.08.2025,4.22,5.69,-1.463,4.58,5.79,3.51
Töss-Hornsäge,m3/s,15:00,25.08.2025,1.63,2.11,-0.481,1.90,2.15,1.63
Töss-Rämismühle,m3/s,15:30,25.08.2025,1.63,2.04,-0.414,1.80,2.22,1.62
Töss-Wülflingen,m3/s,15:20,25.08.2025,3.02,3.81,-0.792,3.01,3.78,2.46
Türlersee,müM,08:00,25.08.2025,644.35,644.37,-0.020,644.36,644.37,644.35
Türlersee Abfluss,l/s,12:00,25.08.2025,138,161,-22.5,150,166,134
"Wildbach-Grosswies, Wetzikon",müM,15:30,25.08.2025,533.06,533.07,-0.010,533.06,533.06,533.05
Wildbach-Wetzikon,m3/s,15:30,25.08.2025,0.29,0.34,-0.048,0.30,0.35,0.22
Zürichsee-Oberrieden,müM,15:20,25.08.2025,406.02,406.03,-0.015,406.03,406.03,406.02
